source_path	action	outcome	destination_sections	disposition	original_git_source	source_snapshot	source_sha256	conversation_evidence
.agents/skills/_shared-skill-concepts/context-routing.md	consolidate_then_remove	retired_protocol	docs/project-evolution.md#what-the-retired-development-procedures-taught	Retired context-routing prescriptions for deleted roles and callbacks. The history preserves catalogue separation and selected lifecycle/validation lessons, not this operational protocol.	e2bfc6cb584a9ce7ada0d762f768c605a33b4160:.agents/skills/_shared-skill-concepts/context-routing.md	e2bfc6c checkout bytes before rewrite	f2789bf8005aa0be57a09649fc1b6c84993f7fe3ae01d1329877a09aced58d77	Direct human history: 019f6b37-d80d-7e61-8cbd-7e618cefc6ce raw lines149,191,251,287,403,430,475; later retirement authority; individual report incident conversations mostly not read.
.agents/skills/_shared-skill-concepts/lifecycle-states.md	consolidate_then_remove	retired_protocol	docs/project-evolution.md#what-the-retired-development-procedures-taught	Retired lifecycle-states prescriptions for deleted roles and callbacks. The history preserves catalogue separation and selected lifecycle/validation lessons, not this operational protocol.	e2bfc6cb584a9ce7ada0d762f768c605a33b4160:.agents/skills/_shared-skill-concepts/lifecycle-states.md	e2bfc6c checkout bytes before rewrite	6fb778feb588c9aa19f54ae03609a3517b84311a9502242c2f8d89dfc976e6dd	Direct human history: 019f6b37-d80d-7e61-8cbd-7e618cefc6ce raw lines149,191,251,287,403,430,475; later retirement authority; individual report incident conversations mostly not read.
.agents/skills/_shared-skill-concepts/owner-liveness.md	consolidate_then_remove	retired_protocol	docs/project-evolution.md#what-the-retired-development-procedures-taught	Retired owner-liveness prescriptions for deleted roles and callbacks. The history preserves catalogue separation and selected lifecycle/validation lessons, not this operational protocol.	e2bfc6cb584a9ce7ada0d762f768c605a33b4160:.agents/skills/_shared-skill-concepts/owner-liveness.md	e2bfc6c checkout bytes before rewrite	79c89a70563242aaa844507d07d0f4d4d775fea81d4cad5669b346f47f4fff50	Direct human history: 019f6b37-d80d-7e61-8cbd-7e618cefc6ce raw lines149,191,251,287,403,430,475; later retirement authority; individual report incident conversations mostly not read.
.agents/skills/_shared-skill-concepts/ownership.md	consolidate_then_remove	retired_protocol	docs/project-evolution.md#what-the-retired-development-procedures-taught	Retired ownership prescriptions for deleted roles and callbacks. The history preserves catalogue separation and selected lifecycle/validation lessons, not this operational protocol.	e2bfc6cb584a9ce7ada0d762f768c605a33b4160:.agents/skills/_shared-skill-concepts/ownership.md	e2bfc6c checkout bytes before rewrite	73a7b729cb591c9be88baa922b57d43188bac5fd30a87b085b837ff0a0e2a2fb	Direct human history: 019f6b37-d80d-7e61-8cbd-7e618cefc6ce raw lines149,191,251,287,403,430,475; later retirement authority; individual report incident conversations mostly not read.
.agents/skills/_shared-skill-concepts/prompt-context.md	consolidate_then_remove	retired_protocol	docs/project-evolution.md#what-the-retired-development-procedures-taught	Retired prompt-context prescriptions for deleted roles and callbacks. The history preserves catalogue separation and selected lifecycle/validation lessons, not this operational protocol.	e2bfc6cb584a9ce7ada0d762f768c605a33b4160:.agents/skills/_shared-skill-concepts/prompt-context.md	e2bfc6c checkout bytes before rewrite	c0e48994c2caeb6d96dfb250a5ebf8dad6f5f666193dbfb1253b39883012f4fb	Direct human history: 019f6b37-d80d-7e61-8cbd-7e618cefc6ce raw lines149,191,251,287,403,430,475; later retirement authority; individual report incident conversations mostly not read.
.agents/skills/_shared-skill-concepts/reasoning-routing.md	consolidate_then_remove	retired_protocol	docs/project-evolution.md#what-the-retired-development-procedures-taught	Retired reasoning-routing prescriptions for deleted roles and callbacks. The history preserves catalogue separation and selected lifecycle/validation lessons, not this operational protocol.	e2bfc6cb584a9ce7ada0d762f768c605a33b4160:.agents/skills/_shared-skill-concepts/reasoning-routing.md	e2bfc6c checkout bytes before rewrite	2a34dfabae044e560ad19abad1dfba7e73c9b6f4dfd4f91e884c9eb329167812	Direct human history: 019f6b37-d80d-7e61-8cbd-7e618cefc6ce raw lines149,191,251,287,403,430,475; later retirement authority; individual report incident conversations mostly not read.
.agents/skills/_shared-skill-concepts/record-callback-contract.md	consolidate_then_remove	retired_protocol	docs/project-evolution.md#what-the-retired-development-procedures-taught	Retired record-callback-contract prescriptions for deleted roles and callbacks. The history preserves catalogue separation and selected lifecycle/validation lessons, not this operational protocol.	e2bfc6cb584a9ce7ada0d762f768c605a33b4160:.agents/skills/_shared-skill-concepts/record-callback-contract.md	e2bfc6c checkout bytes before rewrite	a4605ed5d3c9547a5125cb9cddb6f33edcd3b2ed71c1294a3f98f743c8b3172f	Direct human history: 019f6b37-d80d-7e61-8cbd-7e618cefc6ce raw lines149,191,251,287,403,430,475; later retirement authority; individual report incident conversations mostly not read.
.agents/skills/_shared-skill-concepts/relationship-metadata.md	consolidate_then_remove	retired_protocol	docs/project-evolution.md#what-the-retired-development-procedures-taught	Retired relationship-metadata prescriptions for deleted roles and callbacks. The history preserves catalogue separation and selected lifecycle/validation lessons, not this operational protocol.	e2bfc6cb584a9ce7ada0d762f768c605a33b4160:.agents/skills/_shared-skill-concepts/relationship-metadata.md	e2bfc6c checkout bytes before rewrite	dce6384cb9977f38e61a7bf6f81358a68280b3ba470341e793711732aa667e48	Direct human history: 019f6b37-d80d-7e61-8cbd-7e618cefc6ce raw lines149,191,251,287,403,430,475; later retirement authority; individual report incident conversations mostly not read.
.agents/skills/_shared-skill-concepts/reporting-flow.md	consolidate_then_remove	retired_protocol	docs/project-evolution.md#what-the-retired-development-procedures-taught	Retired reporting-flow prescriptions for deleted roles and callbacks. The history preserves catalogue separation and selected lifecycle/validation lessons, not this operational protocol.	e2bfc6cb584a9ce7ada0d762f768c605a33b4160:.agents/skills/_shared-skill-concepts/reporting-flow.md	e2bfc6c checkout bytes before rewrite	012258dfbfbd92ef8668cd3c4e168375b5f26b4f69363b948b6971ef4add0311	Direct human history: 019f6b37-d80d-7e61-8cbd-7e618cefc6ce raw lines149,191,251,287,403,430,475; later retirement authority; individual report incident conversations mostly not read.
.agents/skills/_shared-skill-concepts/role-context-direction.md	consolidate_then_remove	retired_protocol	docs/project-evolution.md#what-the-retired-development-procedures-taught	Retired role-context-direction prescriptions for deleted roles and callbacks. The history preserves catalogue separation and selected lifecycle/validation lessons, not this operational protocol.	e2bfc6cb584a9ce7ada0d762f768c605a33b4160:.agents/skills/_shared-skill-concepts/role-context-direction.md	e2bfc6c checkout bytes before rewrite	4ec018b6d42cdff77c0817187db5ce5605afcae5941ee0121dfec4e77f3ffe4e	Direct human history: 019f6b37-d80d-7e61-8cbd-7e618cefc6ce raw lines149,191,251,287,403,430,475; later retirement authority; individual report incident conversations mostly not read.
.agents/skills/_shared-skill-concepts/root-intake-wakeup.md	consolidate_then_remove	retired_protocol	docs/project-evolution.md#what-the-retired-development-procedures-taught	Retired root-intake-wakeup prescriptions for deleted roles and callbacks. The history preserves catalogue separation and selected lifecycle/validation lessons, not this operational protocol.	e2bfc6cb584a9ce7ada0d762f768c605a33b4160:.agents/skills/_shared-skill-concepts/root-intake-wakeup.md	e2bfc6c checkout bytes before rewrite	73789a8746323f73d687c96abd3ed8a2b91aae3f1c83d47338ada551f7310f73	Direct human history: 019f6b37-d80d-7e61-8cbd-7e618cefc6ce raw lines149,191,251,287,403,430,475; later retirement authority; individual report incident conversations mostly not read.
.agents/skills/_shared-skill-concepts/skill-context-capsules.md	consolidate_then_remove	retired_protocol	docs/project-evolution.md#what-the-retired-development-procedures-taught	Retired skill-context-capsules prescriptions for deleted roles and callbacks. The history preserves catalogue separation and selected lifecycle/validation lessons, not this operational protocol.	e2bfc6cb584a9ce7ada0d762f768c605a33b4160:.agents/skills/_shared-skill-concepts/skill-context-capsules.md	e2bfc6c checkout bytes before rewrite	c3651e481caa8f2f50cc41a50b0ff11cef726eacb453100b1b206fb2ab491095	Direct human history: 019f6b37-d80d-7e61-8cbd-7e618cefc6ce raw lines149,191,251,287,403,430,475; later retirement authority; individual report incident conversations mostly not read.
.agents/skills/_shared-skill-concepts/thread-naming.md	consolidate_then_remove	retired_protocol	docs/project-evolution.md#what-the-retired-development-procedures-taught	Retired thread-naming prescriptions for deleted roles and callbacks. The history preserves catalogue separation and selected lifecycle/validation lessons, not this operational protocol.	e2bfc6cb584a9ce7ada0d762f768c605a33b4160:.agents/skills/_shared-skill-concepts/thread-naming.md	e2bfc6c checkout bytes before rewrite	e3b2140f53c9e5b94efd731c04db28326ab848579006a27c6f848c7aa2e7fd3a	Direct human history: 019f6b37-d80d-7e61-8cbd-7e618cefc6ce raw lines149,191,251,287,403,430,475; later retirement authority; individual report incident conversations mostly not read.
.agents/skills/_shared-skill-concepts/validation-scope.md	consolidate_then_remove	retired_protocol	docs/project-evolution.md#what-the-retired-development-procedures-taught	Retired validation-scope prescriptions for deleted roles and callbacks. The history preserves catalogue separation and selected lifecycle/validation lessons, not this operational protocol.	e2bfc6cb584a9ce7ada0d762f768c605a33b4160:.agents/skills/_shared-skill-concepts/validation-scope.md	e2bfc6c checkout bytes before rewrite	d80e0d91cac64884e650b5acfa198804bdae728296e88c27238bf4aa3f4fb0ce	Direct human history: 019f6b37-d80d-7e61-8cbd-7e618cefc6ce raw lines149,191,251,287,403,430,475; later retirement authority; individual report incident conversations mostly not read.
.agents/skills/_shared-skill-concepts/work-integration-state.md	consolidate_then_remove	retired_protocol	docs/project-evolution.md#what-the-retired-development-procedures-taught	Retired work-integration-state prescriptions for deleted roles and callbacks. The history preserves catalogue separation and selected lifecycle/validation lessons, not this operational protocol.	e2bfc6cb584a9ce7ada0d762f768c605a33b4160:.agents/skills/_shared-skill-concepts/work-integration-state.md	e2bfc6c checkout bytes before rewrite	3f24cbb5bb5bbcc8292a84d87cd18c05f040f0db020bfc2e2522d33492cdbdf8	Direct human history: 019f6b37-d80d-7e61-8cbd-7e618cefc6ce raw lines149,191,251,287,403,430,475; later retirement authority; individual report incident conversations mostly not read.
.agents/skills/_shared-skill-concepts/work-route-vs-content-dependency.md	consolidate_then_remove	retired_protocol	docs/project-evolution.md#what-the-retired-development-procedures-taught	Retired work-route-vs-content-dependency prescriptions for deleted roles and callbacks. The history preserves catalogue separation and selected lifecycle/validation lessons, not this operational protocol.	e2bfc6cb584a9ce7ada0d762f768c605a33b4160:.agents/skills/_shared-skill-concepts/work-route-vs-content-dependency.md	e2bfc6c checkout bytes before rewrite	69fff28625033dec5377f97cddd9612dde7fa882ff0c7e57025a398bfeacc750	Direct human history: 019f6b37-d80d-7e61-8cbd-7e618cefc6ce raw lines149,191,251,287,403,430,475; later retirement authority; individual report incident conversations mostly not read.
.agents/skills/maintain-slice-plan/SKILL.md	preserve_active_instruction	preserved_instruction	.agents/skills/maintain-slice-plan/SKILL.md#maintain-slice-plan; docs/project-evolution.md#what-the-retired-development-procedures-taught	Standalone planning instruction preserved unchanged; history distinguishes its format from retired routing and handoff procedures.	e2bfc6cb584a9ce7ada0d762f768c605a33b4160:.agents/skills/maintain-slice-plan/SKILL.md	e2bfc6c checkout bytes before rewrite	1275bd4d956d80341f3689633fd1b09649b601e7ac6eafd860cdb7b62f1962bb	Direct human history: 019f6b37-d80d-7e61-8cbd-7e618cefc6ce raw lines149,191,251,287,403,430,475; later retirement authority; individual report incident conversations mostly not read.
.agents/skills/orchestration-skill-maintainer/SKILL.md	preserve_active_instruction	preserved_instruction	.agents/skills/orchestration-skill-maintainer/SKILL.md#skill-maintainer; docs/project-evolution.md#what-the-retired-development-procedures-taught	Active maintainer instruction preserved unchanged; reader authority and catalogue ownership are explained without adding new duties.	e2bfc6cb584a9ce7ada0d762f768c605a33b4160:.agents/skills/orchestration-skill-maintainer/SKILL.md	e2bfc6c checkout bytes before rewrite	13d04ed915967410d9608c410ac7652625ffbd9662134ea5c0813babf4d5beee	Direct human history: 019f6b37-d80d-7e61-8cbd-7e618cefc6ce raw lines149,191,251,287,403,430,475; later retirement authority; individual report incident conversations mostly not read.
.agents/skills/orchestration-skill-maintainer/reports/ad-hoc-catalogue/2026-08-10-three-role-catalogue-removal.md	consolidate_then_remove	incorporated_and_removed	docs/project-evolution.md#what-the-retired-development-procedures-taught	Preserved the reason and direct user authority for deleting the three-role ad hoc framework; the incident checklist is retired rather than installed as a replacement process.	e2bfc6cb584a9ce7ada0d762f768c605a33b4160:.agents/skills/orchestration-skill-maintainer/reports/ad-hoc-catalogue/2026-08-10-three-role-catalogue-removal.md	e2bfc6c checkout bytes before rewrite	801858911caaad90c7fc2cdf09e43f7e05440d879943037be959238d0fb4445a	Direct human history: 019f6b37-d80d-7e61-8cbd-7e618cefc6ce raw lines149,191,251,287,403,430,475; later retirement authority; individual report incident conversations mostly not read.
.agents/skills/orchestration-skill-maintainer/reports/agent-interface-first/2026-07-31-computer-use-as-interface-debt.md	consolidate_then_remove	retired_protocol	docs/project-evolution.md#what-the-retired-development-procedures-taught	Retired Computer Use as agent-interface debt prescriptions with the superseded development catalogue. This row does not claim its individual procedure was copied; the history explains retirement and the independently preserved product/standalone-planning boundaries.	e2bfc6cb584a9ce7ada0d762f768c605a33b4160:.agents/skills/orchestration-skill-maintainer/reports/agent-interface-first/2026-07-31-computer-use-as-interface-debt.md	e2bfc6c checkout bytes before rewrite	6fa17f94b9a126d68aaeb4ede5502d5e966116fcb2595dcbe1aad46883953891	Direct human history: 019f6b37-d80d-7e61-8cbd-7e618cefc6ce raw lines149,191,251,287,403,430,475; later retirement authority; individual report incident conversations mostly not read.
.agents/skills/orchestration-skill-maintainer/reports/agent-interface-first/2026-08-05-reusable-cli-interface.md	consolidate_then_remove	retired_protocol	docs/project-evolution.md#what-the-retired-development-procedures-taught	Retired Reusable CLI interface prescriptions with the superseded development catalogue. This row does not claim its individual procedure was copied; the history explains retirement and the independently preserved product/standalone-planning boundaries.	e2bfc6cb584a9ce7ada0d762f768c605a33b4160:.agents/skills/orchestration-skill-maintainer/reports/agent-interface-first/2026-08-05-reusable-cli-interface.md	e2bfc6c checkout bytes before rewrite	e69aa5128e937bd153cbb74c7e5db317a80d3a7010dd6f847bbc45039ef813bb	Direct human history: 019f6b37-d80d-7e61-8cbd-7e618cefc6ce raw lines149,191,251,287,403,430,475; later retirement authority; individual report incident conversations mostly not read.
.agents/skills/orchestration-skill-maintainer/reports/complete-plan-slice/2026-08-04-combined-validation-economy.md	consolidate_then_remove	incorporated_and_removed	docs/project-evolution.md#what-the-retired-development-procedures-taught; docs/validation-evidence.md#session-event-regressions-and-repair	Synthesized proportionate validation and executable consumer/composition evidence relevant to Combined Validation Economy. Deleted role-specific review gates and repeated command prescriptions are retired.	e2bfc6cb584a9ce7ada0d762f768c605a33b4160:.agents/skills/orchestration-skill-maintainer/reports/complete-plan-slice/2026-08-04-combined-validation-economy.md	e2bfc6c checkout bytes before rewrite	da3944fe62849386510674cb685802e456c5665e74c805f4221768ac73166358	Direct human history: 019f6b37-d80d-7e61-8cbd-7e618cefc6ce raw lines149,191,251,287,403,430,475; later retirement authority; individual report incident conversations mostly not read.
.agents/skills/orchestration-skill-maintainer/reports/complete-plan-slice/2026-08-05-composition-risk.md	consolidate_then_remove	incorporated_and_removed	docs/project-evolution.md#what-the-retired-development-procedures-taught; docs/validation-evidence.md#session-event-regressions-and-repair	Synthesized proportionate validation and executable consumer/composition evidence relevant to Plan Step composition risk. Deleted role-specific review gates and repeated command prescriptions are retired.	e2bfc6cb584a9ce7ada0d762f768c605a33b4160:.agents/skills/orchestration-skill-maintainer/reports/complete-plan-slice/2026-08-05-composition-risk.md	e2bfc6c checkout bytes before rewrite	dadba03e30956da700c11423f9c8a3ccc84c1a7ad03a9c90efa7277c669f96cf	Direct human history: 019f6b37-d80d-7e61-8cbd-7e618cefc6ce raw lines149,191,251,287,403,430,475; later retirement authority; individual report incident conversations mostly not read.
.agents/skills/orchestration-skill-maintainer/reports/complete-plan-slice/2026-08-05-remote-publication.md	consolidate_then_remove	retired_protocol	docs/project-evolution.md#what-the-retired-development-procedures-taught	Retired Accepted Slice publication prescriptions with the superseded development catalogue. This row does not claim its individual procedure was copied; the history explains retirement and the independently preserved product/standalone-planning boundaries.	e2bfc6cb584a9ce7ada0d762f768c605a33b4160:.agents/skills/orchestration-skill-maintainer/reports/complete-plan-slice/2026-08-05-remote-publication.md	e2bfc6c checkout bytes before rewrite	b6a0b65d03eaa6a15b0da5545d743399f76660f9730656e009fa6dacc2864dd0	Direct human history: 019f6b37-d80d-7e61-8cbd-7e618cefc6ce raw lines149,191,251,287,403,430,475; later retirement authority; individual report incident conversations mostly not read.
